seed,storey,base_prediction,learned_upward_correction
1,2,0.225,0.008187637447740509
1,2,0.25,0.008187637447740509
1,2,0.3,0.008187637447740509
1,2,0.35,0.008187637447740509
1,2,0.4,0.008187637447740509
1,3,0.0,0.0
1,3,0.025,0.0
1,3,0.05,0.0
1,3,0.075,0.0
1,3,0.1,0.0
1,3,0.125,0.0032683383168802343
1,3,0.15,0.0032683383168802343
1,3,0.175,0.0032683383168802343
1,3,0.2,0.0032683383168802343
1,3,0.225,0.0032683383168802343
1,3,0.25,0.0032683383168802343
1,3,0.3,0.0032683383168802343
1,3,0.35,0.0032683383168802343
1,3,0.4,0.0032683383168802343
1,4,0.0,0.0
1,4,0.025,0.0
1,4,0.05,0.0
1,4,0.075,0.0
1,4,0.1,0.0
1,4,0.125,0.0
1,4,0.15,0.0
1,4,0.175,0.0
1,4,0.2,0.0
1,4,0.225,0.0
1,4,0.25,0.0
1,4,0.3,0.0
1,4,0.35,0.0
1,4,0.4,0.0
2,1,0.0,0.0
2,1,0.025,0.0
2,1,0.05,0.0
2,1,0.075,0.0
2,1,0.1,0.029023346491331696
2,1,0.125,0.029023346491331696
2,1,0.15,0.029023346491331696
2,1,0.175,0.029023346491331696
2,1,0.2,0.029023346491331696
2,1,0.225,0.029023346491331696
2,1,0.25,0.029023346491331696
2,1,0.3,0.029023346491331696
2,1,0.35,0.029023346491331696
2,1,0.4,0.029023346491331696
2,2,0.0,0.0
2,2,0.025,0.0
2,2,0.05,0.0
2,2,0.075,0.0
2,2,0.1,0.0
2,2,0.125,0.021444586077606628
2,2,0.15,0.021444586077606628
2,2,0.175,0.021444586077606628
2,2,0.2,0.021444586077606628
2,2,0.225,0.021444586077606628
2,2,0.25,0.021444586077606628
2,2,0.3,0.021444586077606628
2,2,0.35,0.021444586077606628
2,2,0.4,0.021444586077606628
2,3,0.0,0.0
2,3,0.025,0.0
2,3,0.05,0.0
2,3,0.075,0.0
2,3,0.1,0.002840361463053529
2,3,0.125,0.015201135318665144
2,3,0.15,0.015587987320975535
2,3,0.175,0.015587987320975535
2,3,0.2,0.015587987320975535
2,3,0.225,0.015587987320975535
2,3,0.25,0.015587987320975535
2,3,0.3,0.015587987320975535
2,3,0.35,0.015587987320975535
2,3,0.4,0.015587987320975535
2,4,0.0,0.0
2,4,0.025,0.0
2,4,0.05,0.0
2,4,0.075,0.0
2,4,0.1,0.003291595650626403
2,4,0.125,0.003291595650626403
2,4,0.15,0.0058257264918895645
2,4,0.175,0.013189228175375066
2,4,0.2,0.013189228175375066
2,4,0.225,0.013189228175375066
2,4,0.25,0.013189228175375066
2,4,0.3,0.013189228175375066
2,4,0.35,0.013189228175375066
2,4,0.4,0.013189228175375066
3,1,0.0,0.0
3,1,0.025,0.0
3,1,0.05,0.0
3,1,0.075,0.0015051886403862234
3,1,0.1,0.01833813757163758
3,1,0.125,0.03455382728672906
3,1,0.15,0.03455382728672906
3,1,0.175,0.03455382728672906
3,1,0.2,0.03455382728672906
3,1,0.225,0.03455382728672906
3,1,0.25,0.03455382728672906
3,1,0.3,0.03455382728672906
3,1,0.35,0.03455382728672906
3,1,0.4,0.03455382728672906
3,2,0.0,0.0
3,2,0.025,0.0
3,2,0.05,0.0
3,2,0.075,0.0
3,2,0.1,0.0
3,2,0.125,0.017824312086097468
3,2,0.15,0.02181417973326261
3,2,0.175,0.02181417973326261
3,2,0.2,0.02181417973326261
3,2,0.225,0.02181417973326261
3,2,0.25,0.02181417973326261
3,2,0.3,0.02181417973326261
3,2,0.35,0.02181417973326261
3,2,0.4,0.02181417973326261
3,3,0.0,0.0
3,3,0.025,0.0
3,3,0.05,0.0
3,3,0.075,0.0
3,3,0.1,0.0
3,3,0.125,0.013839396258407874
3,3,0.15,0.013839396258407874
3,3,0.175,0.013839396258407874
3,3,0.2,0.013839396258407874
3,3,0.225,0.013839396258407874
3,3,0.25,0.013839396258407874
3,3,0.3,0.013839396258407874
3,3,0.35,0.013839396258407874
3,3,0.4,0.013839396258407874
3,4,0.0,0.0
3,4,0.025,0.0
3,4,0.05,0.0
3,4,0.075,0.0
3,4,0.1,0.0
3,4,0.125,0.0040402007391772314
3,4,0.15,0.010652682647279333
3,4,0.175,0.010652682647279333
3,4,0.2,0.010652682647279333
3,4,0.225,0.010652682647279333
3,4,0.25,0.010652682647279333
3,4,0.3,0.010652682647279333
3,4,0.35,0.010652682647279333
3,4,0.4,0.010652682647279333
4,1,0.0,0.0
4,1,0.025,0.0
4,1,0.05,0.0
4,1,0.075,0.0069961651830427905
