seed,descriptor_set,candidate,C,gamma,epsilon,val_mse,val_mae,fit_seconds,mean_support_vector_ratio,selected
2,oracle_full,rbf_svr_C_500_gamma_0p0005_eps_0.04,500.0,0.0005,0.04,0.00242893213489064,0.03151380909019865,0.7381138330092654,0.30726190476190474,False
2,oracle_full,rbf_svr_C_500_gamma_0p00075_eps_0.02,500.0,0.00075,0.02,0.002013123993873898,0.025911355143163332,2.1970561670023017,0.48095238095238096,False
2,oracle_full,rbf_svr_C_500_gamma_0p00075_eps_0.03,500.0,0.00075,0.03,0.00204895895950808,0.027372133226340085,1.3986909999512136,0.36273809523809525,False
2,oracle_full,rbf_svr_C_500_gamma_0p00075_eps_0.04,500.0,0.00075,0.04,0.0022330638158544343,0.029836811425834144,1.0152466250001453,0.29035714285714287,False
2,oracle_full,rbf_svr_C_500_gamma_0p001_eps_0.02,500.0,0.001,0.02,0.0018585138825016625,0.025027479448094126,2.652361957996618,0.47595238095238096,False
2,oracle_full,rbf_svr_C_500_gamma_0p001_eps_0.03,500.0,0.001,0.03,0.0018982129023157803,0.02662768566011754,1.5252339169965126,0.3591666666666667,False
2,oracle_full,rbf_svr_C_500_gamma_0p001_eps_0.04,500.0,0.001,0.04,0.0020502803226901335,0.028790944706911337,1.1041941660223529,0.2863095238095238,False
2,oracle_full,rbf_svr_C_500_gamma_0p003_eps_0.02,500.0,0.003,0.02,0.0017184326814325154,0.023834335218403505,5.9722325000329874,0.49476190476190474,False
2,oracle_full,rbf_svr_C_500_gamma_0p003_eps_0.03,500.0,0.003,0.03,0.0017829178536781488,0.025372614139291403,2.785716374986805,0.3736904761904762,False
2,oracle_full,rbf_svr_C_500_gamma_0p003_eps_0.04,500.0,0.003,0.04,0.00196278302051184,0.027616706033173167,1.4310424579889514,0.2951190476190476,False
2,oracle_full,rbf_svr_C_500_gamma_0p01_eps_0.02,500.0,0.01,0.02,0.0025373652764871875,0.028952262061993403,3.8327510409872048,0.5473809523809524,False
2,oracle_full,rbf_svr_C_500_gamma_0p01_eps_0.03,500.0,0.01,0.03,0.0026566974911860137,0.031051211948216778,1.944293541018851,0.41845238095238096,False
2,oracle_full,rbf_svr_C_500_gamma_0p01_eps_0.04,500.0,0.01,0.04,0.002861914223435421,0.03383357652987494,1.2317988750291988,0.3463095238095238,False
