case_id,noise_level,noise_percent,replicate,descriptor_shift_l2,descriptor_shift_l1,standard_case_mae,standard_case_mae_change,calibrated_case_mae,calibrated_case_mae_change
1454,0.2,20,2,0.1923858618753881,0.10259989138835102,0.2142967046510878,0.19774730416995187,0.22495595110369843,0.2046480365137412
578,0.2,20,2,0.3480792750250999,0.17891839597062195,0.25466262798511385,0.23966567879824704,0.26908038854654576,0.254083439359679
1625,0.2,20,2,1.629387894372855,0.9133054239451414,0.34321480587082187,0.3322143780576114,0.3422843862460655,0.3254891253941715
2950,0.2,20,2,0.22761648101049506,0.11092957986559746,0.32577598625508125,0.31926344412199575,0.3343989137778297,0.3278863716447442
1135,0.2,20,2,0.2063502347914624,0.09760140413153007,0.3129947186270516,0.28644041161191097,0.3178591320409787,0.2875463109170168
1517,0.2,20,2,0.23775085013735214,0.128867567113261,0.19658748500816514,0.19030971550563627,0.20034599911698645,0.18340898316184698
866,0.2,20,2,0.23467126884113876,0.1297809498190387,0.2767041596011699,0.2767041596011699,0.28958665802208977,0.28958665802208977
199,0.2,20,2,1.113963394473946,0.6537929752433127,0.3359906250840458,0.32656722007318945,0.34664987153665644,0.34588638900365487
228,0.2,20,2,0.5089858545361388,0.2877059581901576,0.43376140012437286,0.407997541801361,0.4439482876682308,0.4176522601573455
29,0.2,20,2,0.25159224401340075,0.11596962263147298,0.34520285640305853,0.31524946325338005,0.35006726981698566,0.31871109813379817
2998,0.2,20,2,0.23360745336983765,0.1251183492316876,0.32164101311425536,0.31128528431688873,0.32539952722307663,0.3141721566136512
1036,0.2,20,2,0.3083812858308769,0.1524625906132198,0.20743978204324187,0.19653185307136214,0.22185754260467377,0.20496146855861863
2376,0.2,20,2,0.21772534151744957,0.10425163931152934,0.2544875535983149,0.21893713540284981,0.2671633851890249,0.23161296699355982
1486,0.2,20,2,0.21644136677955328,0.11296183180493105,0.3301895887054434,0.2922737596343282,0.3388125162281918,0.3008966871570766
1951,0.2,20,2,0.1538567991985632,0.06720892619241853,0.3294621223383297,0.31873047493985485,0.33432653575225685,0.3241270984742992
399,0.2,20,2,0.5165709679904696,0.29489370832573714,0.34121452668780705,0.27787420837922433,0.3526517422544508,0.28931142394586806
1743,0.2,20,2,1.659192587081701,0.8493453374023415,0.2781139496644516,0.26601448417183976,0.2873704175835532,0.2752709520909414
2384,0.2,20,2,0.20331351855498203,0.10900362713467132,0.31897749826871385,0.2871063229643395,0.32640217340921623,0.2896665846909148
