noise_level,noise_percent,replicate,feature_index,feature_name,signed_mean_delta_z,mean_abs_delta_z,median_abs_delta_z,rms_delta_z,p95_abs_delta_z,fraction_abs_delta_z_gt_1,fraction_abs_delta_z_gt_2
0.05,5,1,26,story_1_max_ground_amplification,0.13123907510908875,0.14254762887686703,0.03553792662530769,0.30122827540230857,0.7945727569038954,0.03111111111111111,0.0
0.05,5,1,27,story_1_rms_ground_amplification,0.010223894417581618,0.010324872743198151,0.0027389685791833446,0.02017911301527389,0.05296128199707688,0.0,0.0
0.05,5,1,28,story_2_max_ground_amplification,0.04186778407623578,0.043414424847203176,0.01517665352667294,0.08592777418429953,0.21894779818853144,0.0,0.0
0.05,5,1,29,story_2_rms_ground_amplification,0.0017335649171770198,0.0018065808504382475,0.001126109151977793,0.003175524937687888,0.005845214043027924,0.0,0.0
0.05,5,1,30,story_3_max_ground_amplification,0.026675972773024578,0.027139454151829372,0.010329462242047907,0.05211332840329514,0.13483131725649783,0.0,0.0
0.05,5,1,31,story_3_rms_ground_amplification,0.0009300026349885001,0.0010789423124846187,0.000641579372281035,0.0018454909447692784,0.004026807989464339,0.0,0.0
0.05,5,1,32,story_4_max_ground_amplification,0.020869576802537246,0.021192084172175288,0.00766296895874542,0.04010523947977553,0.1099574987587399,0.0,0.0
0.05,5,1,33,story_4_rms_ground_amplification,0.0005141690338993163,0.000667155445388534,0.00032460843092126015,0.0012096832021694561,0.0024660280455279324,0.0,0.0
0.05,5,1,34,story_1_relative_to_lower_max_abs,0.12263166144035265,0.12986167861539397,0.035203422677262994,0.28411741676682445,0.6395597607786665,0.024444444444444446,0.0
0.05,5,1,35,story_1_relative_to_lower_rms,0.011833594612354767,0.011833594612354767,0.005652064217367683,0.02085032150640947,0.04403266171132173,0.0,0.0
0.05,5,1,36,story_2_relative_to_lower_max_abs,0.12310383676322996,0.1240471229211516,0.03774851470232135,0.2666437959531624,0.6232796570401595,0.017777777777777778,0.0022222222222222222
0.05,5,1,37,story_2_relative_to_lower_rms,0.009185071912866929,0.009195424341047797,0.0033891917690797033,0.017477556344121983,0.036684750753974,0.0,0.0
0.05,5,1,38,story_3_relative_to_lower_max_abs,0.1559195494044733,0.15736371536151583,0.04273453024963367,0.33332786506471856,0.8232657407167613,0.042222222222222223,0.0
0.05,5,1,39,story_3_relative_to_lower_rms,0.013548045759760603,0.01357168340083342,0.0035625630144606856,0.027273774400196685,0.05827707385089657,0.0,0.0
0.05,5,1,40,story_4_relative_to_lower_max_abs,0.25538069116843093,0.25827176631737736,0.0638163365660876,0.5723107614369678,1.30996214764238,0.06888888888888889,0.03333333333333333
0.05,5,1,41,story_4_relative_to_lower_rms,0.032242567419436576,0.03224984971611718,0.00767679067666502,0.06473862560182683,0.15676677273942824,0.0,0.0
0.05,5,1,42,story_2_to_story_1_max_abs_ratio,-0.07068698789083613,0.10751825857910637,0.036197783644957356,0.20983874310807474,0.6058159913574002,0.0,0.0
0.05,5,1,43,story_2_to_story_1_rms_ratio,-0.013801658431542312,0.01583981064957943,0.002584137854879105,0.03987758966760457,0.11227196600957604,0.0,0.0
0.05,5,1,44,story_3_to_story_2_max_abs_ratio,-0.02338113537165785,0.06410405969639733,0.04941506254067797,0.08483224166905662,0.17421380934475014,0.0,0.0
0.05,5,1,45,story_3_to_story_2_rms_ratio,-0.005385155975635652,0.008001276450808623,0.004985516802396693,0.011403418650188202,0.025969638388766703,0.0,0.0
0.05,5,1,46,story_4_to_story_3_max_abs_ratio,-0.03895997179526863,0.07553069934178681,0.05561481720032929,0.10749701445680565,0.23823188277556964,0.0,0.0
