method,noise_level,noise_percent,replicate,severity,n_entries,signed_bias,mae,rmse,underestimation_ratio,overestimation_ratio,equal_ratio
calibrated_svr,0.05,5,0,zero,1245,0.04216373699223169,0.04216373699223169,0.07159511382851415,0.0,0.704417670682731,0.2955823293172691
calibrated_svr,0.05,5,0,low,109,0.009782806196251962,0.04956580132764443,0.07717246264701043,0.5229357798165137,0.47706422018348627,0.0
calibrated_svr,0.05,5,0,medium,172,0.0006490863184225483,0.055175813508672455,0.07361875844598918,0.47093023255813954,0.5290697674418605,0.0
calibrated_svr,0.05,5,0,high,274,0.014383121429903516,0.06198483060874543,0.0836236302599666,0.3722627737226277,0.6277372262773723,0.0
calibrated_svr,0.05,5,0,damaged,555,0.009223322511628298,0.05743559613513722,0.0793828569297657,0.43243243243243246,0.5675675675675675,0.0
calibrated_svr,0.05,5,1,all,1800,0.03181265809751134,0.04594964335235256,0.07215131947477305,0.1272222222222222,0.6555555555555556,0.21722222222222223
calibrated_svr,0.05,5,1,zero,1245,0.04142643368547515,0.04142643368547515,0.06985212692165696,0.0,0.6859437751004016,0.3140562248995984
calibrated_svr,0.05,5,1,low,109,0.01207314985777019,0.048673564828926236,0.076880642316866,0.45871559633027525,0.5412844036697247,0.0
calibrated_svr,0.05,5,1,medium,172,0.003908534279592107,0.05447335728892253,0.0719385830864168,0.4476744186046512,0.5523255813953488,0.0
calibrated_svr,0.05,5,1,high,274,0.013498662067580536,0.06006792728383363,0.08017598772017218,0.3722627737226277,0.6277372262773723,0.0
calibrated_svr,0.05,5,1,damaged,555,0.010246620967754704,0.056096302875347843,0.07705982556382641,0.4126126126126126,0.5873873873873874,0.0
calibrated_svr,0.05,5,2,all,1800,0.031960527165484476,0.04647625255001256,0.07188543254347678,0.13055555555555556,0.6672222222222223,0.20222222222222222
calibrated_svr,0.05,5,2,zero,1245,0.04206611633202587,0.04206611633202587,0.06998431464505006,0.0,0.7076305220883534,0.2923694779116466
calibrated_svr,0.05,5,2,low,109,0.01003103445815159,0.04817181574546976,0.06991907225723981,0.43119266055045874,0.5688073394495413,0.0
calibrated_svr,0.05,5,2,medium,172,0.006118126055562805,0.0559123109388751,0.0744949355439278,0.4418604651162791,0.5581395348837209,0.0
calibrated_svr,0.05,5,2,high,274,0.01098880885768073,0.05991713269674327,0.0791465061072628,0.40875912408759124,0.5912408759124088,0.0
calibrated_svr,0.05,5,2,damaged,555,0.009291232548648371,0.056369260822793484,0.07597725350206458,0.42342342342342343,0.5765765765765766,0.0
calibrated_svr,0.05,5,3,all,1800,0.032466861719331185,0.04721280291548651,0.07384588633006964,0.13333333333333333,0.6572222222222223,0.20944444444444443
calibrated_svr,0.05,5,3,zero,1245,0.04279492888109464,0.04279492888109464,0.07211344740349128,0.0,0.6971887550200804,0.3028112449799197
calibrated_svr,0.05,5,3,low,109,0.009557432063149955,0.04538974416957512,0.06846321239976141,0.5137614678899083,0.48623853211009177,0.0
calibrated_svr,0.05,5,3,medium,172,0.004270572055182119,0.056343569425362346,0.07314935739820963,0.45348837209302323,0.5465116279069767,0.0
calibrated_svr,0.05,5,3,high,274,0.012351701275396497,0.062280228960828084,0.08349359536518458,0.38686131386861317,0.6131386861313869,0.0
calibrated_svr,0.05,5,3,damaged,555,0.0092984948429429,0.05712316899263587,0.07759158489867926,0.43243243243243246,0.5675675675675675,0.0
calibrated_svr,0.05,5,4,all,1800,0.032140017875246535,0.047135698039321834,0.07360122841675366,0.13111111111111112,0.6588888888888889,0.21
calibrated_svr,0.05,5,4,zero,1245,0.04206858270808625,0.04206858270808625,0.07107712862182457,0.0,0.6963855421686747,0.3036144578313253
calibrated_svr,0.05,5,4,low,109,0.011585347199014818,0.046823399970796674,0.06869527521744903,0.47706422018348627,0.5229357798165137,0.0
calibrated_svr,0.05,5,4,medium,172,0.003954399020954694,0.05834763811985217,0.07609221371850818,0.45348837209302323,0.5465116279069767,0.0
calibrated_svr,0.05,5,4,high,274,0.012896668713794024,0.06324571768533037,0.08438064951379654,0.38686131386861317,0.6131386861313869,0.0
calibrated_svr,0.05,5,4,damaged,555,0.00986783189887637,0.05850247026885034,0.07897046441471031,0.4252252252252252,0.5747747747747748,0.0
calibrated_svr,0.1,10,0,all,1800,0.1007669399650872,0.11966422790716924,0.15913469808331127,0.09166666666666666,0.745,0.16333333333333333
calibrated_svr,0.1,10,0,zero,1245,0.1186964557967091,0.1186964557967091,0.16541169837501038,0.0,0.763855421686747,0.236144578313253
calibrated_svr,0.1,10,0,low,109,0.08482968093118469,0.1202739714949843,0.15646734498665552,0.3302752293577982,0.6697247706422018,0.0
calibrated_svr,0.1,10,0,medium,172,0.051034647365358336,0.12132514417567265,0.13939134093178449,0.3081395348837209,0.6918604651162791,0.0
calibrated_svr,0.1,10,0,high,274,0.056857700371946616,0.12277640538260153,0.14178167094844826,0.2773722627737226,0.7226277372262774,0.0
calibrated_svr,0.1,10,0,damaged,555,0.06054667472117863,0.1218351761549582,0.1440623710144837,0.2972972972972973,0.7027027027027027,0.0
calibrated_svr,0.1,10,1,all,1800,0.10123268677083305,0.11966154889211802,0.1600286491796733,0.08611111111111111,0.7605555555555555,0.15333333333333332
calibrated_svr,0.1,10,1,zero,1245,0.11908325172696162,0.11908325172696162,0.16640365449744982,0.0,0.7783132530120482,0.2216867469879518
calibrated_svr,0.1,10,1,low,109,0.07420003979051862,0.1115554706778414,0.14309241810425524,0.3119266055045872,0.6880733944954128,0.0
calibrated_svr,0.1,10,1,medium,172,0.06053890583818778,0.12810893488130506,0.15156649858475135,0.313953488372093,0.686046511627907,0.0
calibrated_svr,0.1,10,1,high,274,0.05642223228502725,0.1202111551177959,0.14089336476847988,0.24452554744525548,0.7554744525547445,0.0
calibrated_svr,0.1,10,1,damaged,555,0.061189527544923045,0.12095881010044189,0.14470992419073464,0.27927927927927926,0.7207207207207207,0.0
calibrated_svr,0.1,10,2,all,1800,0.10336304689743128,0.12152058960095735,0.16131631788231152,0.08944444444444444,0.7494444444444445,0.16111111111111112
calibrated_svr,0.1,10,2,zero,1245,0.12148420033209037,0.12148420033209037,0.1683952246181687,0.0,0.7670682730923695,0.23293172690763053
calibrated_svr,0.1,10,2,low,109,0.06969558035158262,0.11039673185342168,0.14237880934869857,0.3486238532110092,0.6513761467889908,0.0
calibrated_svr,0.1,10,2,medium,172,0.057261056553217844,0.12707361399483338,0.14953777012510264,0.3023255813953488,0.6976744186046512,0.0
calibrated_svr,0.1,10,2,high,274,0.06335742706732786,0.12262527915743225,0.14143567006549612,0.2591240875912409,0.7408759124087592,0.0
calibrated_svr,0.1,10,2,damaged,555,0.06271289189535821,0.12160221958246979,0.14417777510382965,0.29009009009009007,0.7099099099099099,0.0
calibrated_svr,0.1,10,3,all,1800,0.10088447970668324,0.11986076202242149,0.15976366488926258,0.09333333333333334,0.7416666666666667,0.165
calibrated_svr,0.1,10,3,zero,1245,0.11955133503871712,0.11955133503871712,0.16600779829750473,0.0,0.7614457831325301,0.2385542168674699
calibrated_svr,0.1,10,3,low,109,0.07968908869414698,0.11606278626338422,0.1491484268452688,0.3669724770642202,0.6330275229357798,0.0
calibrated_svr,0.1,10,3,medium,172,0.053277767846866025,0.1247925202135104,0.14829657644948366,0.3313953488372093,0.6686046511627907,0.0
calibrated_svr,0.1,10,3,high,274,0.05438235259673004,0.11968176035665397,0.14072535060386138,0.2591240875912409,0.7408759124087592,0.0
calibrated_svr,0.1,10,3,damaged,555,0.05901018261049911,0.12055488201289344,0.1447802192073805,0.3027027027027027,0.6972972972972973,0.0
calibrated_svr,0.1,10,4,all,1800,0.0993430413000694,0.11891420198633872,0.15907650170133886,0.09388888888888888,0.7433333333333333,0.16277777777777777
calibrated_svr,0.1,10,4,zero,1245,0.11868732280491094,0.11868732280491094,0.16560435847348962,0.0,0.7646586345381526,0.2353413654618474
calibrated_svr,0.1,10,4,low,109,0.07492046239027747,0.11449378794492694,0.14796827047185623,0.3486238532110092,0.6513761467889908,0.0
