noise_level,noise_percent,tag,feature_set,model,test_mae,source_table,test_rmse,n_features,mae_on_damaged_entries,mean_prediction_on_zero_entries,config_label
0.1,10.0,debug_noise_010_1000,response_correlation,random_forest,0.0740506550697155,results/tables/physics_ablation/debug_noise_010_1000/ablation_model_comparison_fixed.csv,0.0924922299196222,59,0.1215314465625965,0.0532137609613288,response_correlation + random_forest
0.1,10.0,debug_noise_010_1000,full,random_forest,0.0741769370208066,results/tables/physics_ablation/debug_noise_010_1000/ablation_model_comparison_fixed.csv,0.0927049069957323,92,0.1214045311000924,0.0534511583241417,full + random_forest
0.1,10.0,debug_noise_010_1000,no_meta,random_forest,0.0742490345684501,results/tables/physics_ablation/debug_noise_010_1000/ablation_model_comparison_fixed.csv,0.0927101250588909,86,0.1215626309091171,0.0534855138721861,no_meta + random_forest
0.1,10.0,debug_noise_010_1000,physics_no_meta_core,random_forest,0.0742490345684501,results/tables/physics_ablation/debug_noise_010_1000/ablation_model_comparison_fixed.csv,0.0927101250588909,86,0.1215626309091171,0.0534855138721861,physics_no_meta_core + random_forest
0.1,10.0,debug_noise_010_1000,response_frequency,random_forest,0.0779607225327909,results/tables/physics_ablation/debug_noise_010_1000/ablation_model_comparison_fixed.csv,0.0977302860394045,75,0.1277497916041193,0.0561108433000496,response_frequency + random_forest
0.1,10.0,debug_noise_010_1000,response_basic_only,random_forest,0.0783250240977857,results/tables/physics_ablation/debug_noise_010_1000/ablation_model_comparison_fixed.csv,0.0973390866761617,52,0.1265925889563719,0.0571428553468954,response_basic_only + random_forest
0.1,10.0,debug_noise_010_1000,response_spatial,random_forest,0.0785897767511494,results/tables/physics_ablation/debug_noise_010_1000/ablation_model_comparison_fixed.csv,0.0976701602456371,64,0.1277926085721474,0.0569971671030856,response_spatial + random_forest
0.15,15.0,debug_noise_015_1000,full,ridge,0.0431411638192448,results/tables/physics_ablation/debug_noise_015_1000/ablation_model_comparison_fixed.csv,0.064543121116709,92,0.0688997784927005,0.0310194627964421,full + ridge
0.15,15.0,debug_noise_015_1000,no_meta,ridge,0.0464233850884531,results/tables/physics_ablation/debug_noise_015_1000/ablation_model_comparison_fixed.csv,0.0683406081831578,86,0.074561903539284,0.0331817293468856,no_meta + ridge
0.15,15.0,debug_noise_015_1000,physics_no_meta_core,ridge,0.0464233850884531,results/tables/physics_ablation/debug_noise_015_1000/ablation_model_comparison_fixed.csv,0.0683406081831578,86,0.074561903539284,0.0331817293468856,physics_no_meta_core + ridge
0.15,15.0,debug_noise_015_1000,full,elasticnet,0.0513633158710565,results/tables/physics_ablation/debug_noise_015_1000/ablation_model_comparison_fixed.csv,0.071969646617283,92,0.0841914744505661,0.0359147706571697,full + elasticnet
0.15,15.0,debug_noise_015_1000,response_correlation,ridge,0.0522073226121298,results/tables/physics_ablation/debug_noise_015_1000/ablation_model_comparison_fixed.csv,0.0738014943269171,59,0.0825571723449696,0.0379250403849111,response_correlation + ridge
0.15,15.0,debug_noise_015_1000,response_frequency,ridge,0.0531720626559956,results/tables/physics_ablation/debug_noise_015_1000/ablation_model_comparison_fixed.csv,0.0743468236634039,75,0.0864559066151163,0.0375090772634682,response_frequency + ridge
0.15,15.0,debug_noise_015_1000,no_meta,elasticnet,0.0531849724793247,results/tables/physics_ablation/debug_noise_015_1000/ablation_model_comparison_fixed.csv,0.0736302059809784,86,0.0871509232919895,0.037200995626306,no_meta + elasticnet
0.15,15.0,debug_noise_015_1000,physics_no_meta_core,elasticnet,0.0531849724793247,results/tables/physics_ablation/debug_noise_015_1000/ablation_model_comparison_fixed.csv,0.0736302059809784,86,0.0871509232919895,0.037200995626306,physics_no_meta_core + elasticnet
0.15,15.0,debug_noise_015_1000,response_correlation,elasticnet,0.0583371541412842,results/tables/physics_ablation/debug_noise_015_1000/ablation_model_comparison_fixed.csv,0.0791916990133721,59,0.0940809316936784,0.0415165529401575,response_correlation + elasticnet
0.15,15.0,debug_noise_015_1000,response_frequency,elasticnet,0.0608879835974933,results/tables/physics_ablation/debug_noise_015_1000/ablation_model_comparison_fixed.csv,0.0818756251381133,75,0.1003576407383075,0.0423140272959337,response_frequency + elasticnet
0.15,15.0,debug_noise_015_1000,response_basic_only,ridge,0.061054788889722,results/tables/physics_ablation/debug_noise_015_1000/ablation_model_comparison_fixed.csv,0.0828784020934786,52,0.0985773729563355,0.0433971022701392,response_basic_only + ridge
0.15,15.0,debug_noise_015_1000,response_spatial,ridge,0.0611337344156791,results/tables/physics_ablation/debug_noise_015_1000/ablation_model_comparison_fixed.csv,0.0830994839956985,64,0.0970704315075594,0.0442223475489119,response_spatial + ridge
0.15,15.0,debug_noise_015_1000,response_spatial,elasticnet,0.0660099377806643,results/tables/physics_ablation/debug_noise_015_1000/ablation_model_comparison_fixed.csv,0.0872458030656602,64,0.1081594920077992,0.0461748534384832,response_spatial + elasticnet
0.15,15.0,debug_noise_015_1000,response_basic_only,elasticnet,0.0663895240019476,results/tables/physics_ablation/debug_noise_015_1000/ablation_model_comparison_fixed.csv,0.0875082676142758,52,0.1097246532472362,0.0459965220041648,response_basic_only + elasticnet
0.15,15.0,debug_noise_015_1000,no_meta,random_forest,0.0725787880773669,results/tables/physics_ablation/debug_noise_015_1000/ablation_model_comparison_fixed.csv,0.093208871745965,86,0.120033752889622,0.0502470399304232,no_meta + random_forest
0.15,15.0,debug_noise_015_1000,physics_no_meta_core,random_forest,0.0725787880773669,results/tables/physics_ablation/debug_noise_015_1000/ablation_model_comparison_fixed.csv,0.093208871745965,86,0.120033752889622,0.0502470399304232,physics_no_meta_core + random_forest
0.15,15.0,debug_noise_015_1000,full,random_forest,0.0725906743846333,results/tables/physics_ablation/debug_noise_015_1000/ablation_model_comparison_fixed.csv,0.0933721573650415,92,0.1203010099472325,0.0501387517669396,full + random_forest
0.15,15.0,debug_noise_015_1000,response_correlation,random_forest,0.07317917051405,results/tables/physics_ablation/debug_noise_015_1000/ablation_model_comparison_fixed.csv,0.0936643522590489,59,0.1222569350168573,0.0500837519244936,response_correlation + random_forest
0.15,15.0,debug_noise_015_1000,response_frequency,random_forest,0.07540290455171,results/tables/physics_ablation/debug_noise_015_1000/ablation_model_comparison_fixed.csv,0.0967908048028059,75,0.1258535608202022,0.0516614192488901,response_frequency + random_forest
0.15,15.0,debug_noise_015_1000,response_basic_only,random_forest,0.0764092757588139,results/tables/physics_ablation/debug_noise_015_1000/ablation_model_comparison_fixed.csv,0.0977538347168821,52,0.1274093098501799,0.0524092597158181,response_basic_only + random_forest
0.15,15.0,debug_noise_015_1000,response_spatial,random_forest,0.0770548666710102,results/tables/physics_ablation/debug_noise_015_1000/ablation_model_comparison_fixed.csv,0.0984746169848934,64,0.1290534323136063,0.0525849534274355,response_spatial + random_forest
0.2,20.0,debug_noise_020_1000,full,ridge,0.0419664671908993,results/tables/physics_ablation/debug_noise_020_1000/ablation_model_comparison_fixed.csv,0.0649814956818765,92,0.067486722327711,0.0306584606774935,full + ridge
0.2,20.0,debug_noise_020_1000,no_meta,ridge,0.0443344965549871,results/tables/physics_ablation/debug_noise_020_1000/ablation_model_comparison_fixed.csv,0.0657363201005592,86,0.072010619055158,0.0320712267788823,no_meta + ridge
0.2,20.0,debug_noise_020_1000,physics_no_meta_core,ridge,0.0443344965549871,results/tables/physics_ablation/debug_noise_020_1000/ablation_model_comparison_fixed.csv,0.0657363201005592,86,0.072010619055158,0.0320712267788823,physics_no_meta_core + ridge
0.2,20.0,debug_noise_020_1000,full,elasticnet,0.0489447469182397,results/tables/physics_ablation/debug_noise_020_1000/ablation_model_comparison_fixed.csv,0.0699602445066493,92,0.0811240643556226,0.0346861147365422,full + elasticnet
0.2,20.0,debug_noise_020_1000,no_meta,elasticnet,0.0511265058109673,results/tables/physics_ablation/debug_noise_020_1000/ablation_model_comparison_fixed.csv,0.0718447704022108,86,0.0845616914031542,0.0363113993621291,no_meta + elasticnet
0.2,20.0,debug_noise_020_1000,physics_no_meta_core,elasticnet,0.0511265058109673,results/tables/physics_ablation/debug_noise_020_1000/ablation_model_comparison_fixed.csv,0.0718447704022108,86,0.0845616914031542,0.0363113993621291,physics_no_meta_core + elasticnet
0.2,20.0,debug_noise_020_1000,response_correlation,ridge,0.0517958032189001,results/tables/physics_ablation/debug_noise_020_1000/ablation_model_comparison_fixed.csv,0.0721447171432399,59,0.0833276170745087,0.0378240794039451,response_correlation + ridge
0.2,20.0,debug_noise_020_1000,response_frequency,ridge,0.0522896653169092,results/tables/physics_ablation/debug_noise_020_1000/ablation_model_comparison_fixed.csv,0.0754824186075237,75,0.0852096784868931,0.0377028313941318,response_frequency + ridge
0.2,20.0,debug_noise_020_1000,response_correlation,elasticnet,0.0562546948547611,results/tables/physics_ablation/debug_noise_020_1000/ablation_model_comparison_fixed.csv,0.0764122746430727,59,0.0914342648324685,0.040666652951806,response_correlation + elasticnet
